emoji,name,Depressed,Sad,Neutral,Happy,Excitement
🌈,rainbow,0.024,0.06,0.31,0.567,0.408
🌙,crescent moon,0,0,0.69,0.268,0.136
🌚,new moon face,0.112,0.19,0.58,0.318,0.204
🌞,sun with face,0,0,0.22,0.612,0.378
🌟,glowing star,0,0,0.47,0.455,0.362
🌷,tulip,0,0,0.56,0.401,0.176
🌸,cherry blossom,0,0,0.44,0.458,0.308
🌹,rose,0,0,0.28,0.5,0.29
🌺,hibiscus,0,0,0.61,0.306,0.192
🍀,four leaf clover,0,0,0.53,0.446,0.32
🍃,leaf fluttering in wind,0.068,0.17,0.69,0.17,0.062
🍕,pizza,0.06,0.06,0.53,0.446,0.29
🍻,clinking beer mugs,0,0,0.28,0.636,0.438
🎀,ribbon,0,0,0.56,0.434,0.392
🎈,balloon,0.06,0.06,0.53,0.404,0.374
🎉,party popper,0,0,0.08,0.743,0.668
🎤,microphone,0.068,0.08,0.61,0.39,0.204
🎥,movie camera,0,0,0.72,0.217,0.178
🎧,headphone,0,0,0.56,0.332,0.176
🎵,musical note,0.032,0.08,0.53,0.404,0.236
🎶,musical notes,0,0,0.53,0.395,0.32
👀,eyes,0.32,0.17,0.19,0.243,0.384
👅,tongue,0,0,0.64,0.303,0.192
👇,backhand index pointing down,0.036,0,0.86,0.042,0
👈,backhand index pointing left,0,0,0.83,0.051,0.036
👉,backhand index pointing right,0,0,0.75,0.075,0.018
👊,oncoming fist,0.066,0,0.39,0.262,0.088
👋,waving hand,0,0,0.72,0.238,0.136
👌,OK hand,0,0,0.44,0.262,0.22
👍,thumbs up,0.072,0.06,0.53,0.39,0.24
👎,thumbs down,0.208,0.31,0.33,0.024,0.084
👏,clapping hands,0,0,0.36,0.565,0.406
👑,crown,0,0,0.72,0.271,0.178
👻,ghost,0.458,0.11,0.31,0.024,0.186
💀,skull,0.49,0.31,0.39,0.063,0.048
💁,person tipping hand,0.06,0.06,0.67,0.197,0.158
💃,woman dancing,0,0,0.31,0.516,0.378
💋,kiss mark,0,0,0.22,0.63,0.426
💎,gem stone,0.036,0,0.5,0.324,0.282
💐,bouquet,0.044,0.11,0.31,0.6,0.492
💓,beating heart,0.048,0,0.33,0.568,0.358
💔,broken heart,0.46,0.94,0.0600000000000001,0.057,0.048
💕,two hearts,0,0,0.17,0.674,0.398
💖,sparkling heart,0,0,0.11,0.722,0.506
💗,growing heart,0,0,0.11,0.731,0.488
💘,heart with arrow,0.092,0.14,0.33,0.562,0.304
💙,blue heart,0.068,0.17,0.39,0.502,0.346
💚,green heart,0.012,0.03,0.42,0.439,0.25
💛,yellow heart,0.032,0.08,0.47,0.404,0.26
💜,purple heart,0.08,0.11,0.53,0.362,0.236
💞,revolving hearts,0,0,0.17,0.656,0.464
💤,zzz,0.092,0.14,0.64,0.185,0.08
💥,collision,0.242,0.14,0.56,0.134,0.23
💦,sweat droplets,0.092,0.14,0.86,0.033,0
💩,pile of poo,0.012,0.03,0.36,0.199,0.214
💪,flexed biceps,0,0,0.58,0.387,0.216
💫,dizzy,0.036,0,0.56,0.365,0.29
💭,thought balloon,0.11,0.11,0.36,0.311,0.17
💯,hundred points,0.06,0.06,0.36,0.532,0.37
💰,money bag,0.06,0.06,0.42,0.503,0.338
📷,camera,0,0,0.81,0.155,0.104
🔞,no one under eighteen,0.062,0.11,0.81,0.089,0.032
🔥,fire,0.146,0.11,0.53,0.241,0.334
🔫,pistol,0.14,0.14,0.56,0.063,0.012
🔴,red circle,0.078,0.03,0.81,0.018,0.114
😀,grinning face,0.06,0.06,0.31,0.549,0.36
😁,beaming face with smiling eyes,0.072,0.06,0.11,0.698,0.554
😂,face with tears of joy,0.036,0,0.0600000000000001,0.709,0.574
😃,grinning face with big eyes,0.036,0,0.17,0.674,0.53
😄,grinning face with smiling eyes,0,0,0.14,0.71,0.512
😅,grinning face with sweat,0.192,0.06,0.56,0.426,0.384
😆,grinning squinting face,0.06,0.06,0.0600000000000001,0.715,0.526
😇,smiling face with halo,0,0,0.28,0.597,0.39
😈,smiling face with horns,0.146,0.08,0.56,0.363,0.15
